Variable,Description,Type,Units
OPL.ELM.1.5,Grosor de la capa OPL-ELM celda 1.5,Num,Real (µm)
OPL.ELM.1.6,Grosor de la capa OPL-ELM celda 1.6,Num,Real (µm)
OPL.ELM.1.7,Grosor de la capa OPL-ELM celda 1.7,Num,Real (µm)
OPL.ELM.1.8,Grosor de la capa OPL-ELM celda 1.8,Num,Real (µm)
OPL.ELM.2.1,Grosor de la capa OPL-ELM celda 2.1,Num,Real (µm)
OPL.ELM.2.2,Grosor de la capa OPL-ELM celda 2.2,Num,Real (µm)
OPL.ELM.2.3,Grosor de la capa OPL-ELM celda 2.3,Num,Real (µm)
OPL.ELM.2.4,Grosor de la capa OPL-ELM celda 2.4,Num,Real (µm)
OPL.ELM.2.5,Grosor de la capa OPL-ELM celda 2.5,Num,Real (µm)
OPL.ELM.2.6,Grosor de la capa OPL-ELM celda 2.6,Num,Real (µm)
OPL.ELM.2.7,Grosor de la capa OPL-ELM celda 2.7,Num,Real (µm)
OPL.ELM.2.8,Grosor de la capa OPL-ELM celda 2.8,Num,Real (µm)
OPL.ELM.3.1,Grosor de la capa OPL-ELM celda 3.1,Num,Real (µm)
OPL.ELM.3.2,Grosor de la capa OPL-ELM celda 3.2,Num,Real (µm)
OPL.ELM.3.3,Grosor de la capa OPL-ELM celda 3.3,Num,Real (µm)
OPL.ELM.3.4,Grosor de la capa OPL-ELM celda 3.4,Num,Real (µm)
OPL.ELM.3.5,Grosor de la capa OPL-ELM celda 3.5,Num,Real (µm)
OPL.ELM.3.6,Grosor de la capa OPL-ELM celda 3.6,Num,Real (µm)
OPL.ELM.3.7,Grosor de la capa OPL-ELM celda 3.7,Num,Real (µm)
OPL.ELM.3.8,Grosor de la capa OPL-ELM celda 3.8,Num,Real (µm)
OPL.ELM.4.1,Grosor de la capa OPL-ELM celda 4.1,Num,Real (µm)
OPL.ELM.4.2,Grosor de la capa OPL-ELM celda 4.2,Num,Real (µm)
OPL.ELM.4.3,Grosor de la capa OPL-ELM celda 4.3,Num,Real (µm)
OPL.ELM.4.4,Grosor de la capa OPL-ELM celda 4.4,Num,Real (µm)
OPL.ELM.4.5,Grosor de la capa OPL-ELM celda 4.5,Num,Real (µm)
OPL.ELM.4.6,Grosor de la capa OPL-ELM celda 4.6,Num,Real (µm)
